Tournament,Date,Team_1,Team_2,Score_1,Score_2,Game_Rank_Diff_USAU,Game_Wght_USAU,Is_Ignored_USAU,Team_Rank_Diff_USAU
Spring Invite Leuven,2023-04-21,7 Schwaben,Bora,15,9,515.4814780292847,1.0,0,214.03
Spring Invite Leuven,2023-04-21,7 Schwaben,Révolution'air,15,9,515.4814780292847,1.0,0,439.28
Spring Invite Leuven,2023-04-21,7 Schwaben,Uprising,15,9,515.4814780292847,1.0,0,124.96000000000001
Spring Invite Leuven,2023-04-21,7 Schwaben,XVI,13,8,496.1596377856195,1.0,0,62.46000000000001
Spring Invite Leuven,2023-04-21,Aarhus Ultimate,Frizzly Bears,15,14,125.0,1.0,0,-92.95
Spring Invite Leuven,2023-04-21,Aarhus Ultimate,UFO,12,11,125.0,1.0,0,-128.67000000000002
Spring Invite Leuven,2023-04-21,Aarhus Ultimate,XVI,13,10,328.14240231865136,1.0,0,-25.539999999999992
Spring Invite Leuven,2023-04-21,Bad Skid,Aarhus Ultimate,15,6,600.0,1.0,1,633.49
Spring Invite Leuven,2023-04-21,Bad Skid,Hard2Fisch,15,7,600.0,1.0,0,1039.52
Spring Invite Leuven,2023-04-21,Bad Skid,SmashD,15,6,600.0,1.0,0,445.46
Spring Invite Leuven,2023-04-21,Bad Skid,Terrible Monkeys,15,8,564.8086448756737,1.0,0,598.16
Spring Invite Leuven,2023-04-21,Bora,Révolution'air,13,12,125.0,1.0,0,225.25
Spring Invite Leuven,2023-04-21,Bora,Uprising,13,10,328.14240231865136,1.0,0,-89.07
Spring Invite Leuven,2023-04-21,Freezzz Beezzz,7 Schwaben,15,8,564.8086448756737,1.0,0,191.18
Spring Invite Leuven,2023-04-21,Freezzz Beezzz,Aarhus Ultimate,15,9,515.4814780292847,1.0,0,279.18
Spring Invite Leuven,2023-04-21,Freezzz Beezzz,SmashD,15,11,381.1647521399218,1.0,0,91.15
Spring Invite Leuven,2023-04-21,Freezzz Beezzz,Uprising,13,11,228.8403622143806,1.0,0,316.14
Spring Invite Leuven,2023-04-21,Frizzly Bears,Bora,15,8,564.8086448756737,1.0,0,218.98000000000002
Spring Invite Leuven,2023-04-21,Frizzly Bears,Hard2Fisch,15,11,381.1647521399218,1.0,0,498.98
Spring Invite Leuven,2023-04-21,Gentle Open,Bora,15,4,600.0,1.0,0,520.1800000000001
Spring Invite Leuven,2023-04-21,Gentle Open,Freezzz Beezzz,15,11,381.1647521399218,1.0,0,114.97
Spring Invite Leuven,2023-04-21,Gentle Open,Révolution'air,15,6,600.0,1.0,1,745.4300000000001
Spring Invite Leuven,2023-04-21,Gentle Open,Terrible Monkeys,15,12,300.4922431832018,1.0,0,358.82
Spring Invite Leuven,2023-04-21,Gentle Open,Terrible Monkeys,15,0,600.0,1.0,0,358.82
Spring Invite Leuven,2023-04-21,JetSet Ultimate Open,Aarhus Ultimate,15,9,515.4814780292847,1.0,0,576.04
Spring Invite Leuven,2023-04-21,JetSet Ultimate Open,Bad Skid,15,14,125.0,1.0,0,-57.44999999999999
Spring Invite Leuven,2023-04-21,JetSet Ultimate Open,Frizzly Bears,15,10,453.6039151898044,1.0,0,483.09
Spring Invite Leuven,2023-04-21,JetSet Ultimate Open,Gentle Open,13,12,125.0,1.0,0,181.89
Spring Invite Leuven,2023-04-21,JetSet Ultimate Open,SmashD,15,7,600.0,1.0,0,388.01
Spring Invite Leuven,2023-04-21,JetSet Ultimate Open,XVI,15,8,564.8086448756737,1.0,0,550.5
Spring Invite Leuven,2023-04-21,SmashD,Hard2Fisch,15,9,515.4814780292847,1.0,0,594.0600000000001
Spring Invite Leuven,2023-04-21,SmashD,UFO,15,10,453.6039151898044,1.0,0,59.36
Spring Invite Leuven,2023-04-21,Terrible Monkeys,Bora,15,9,515.4814780292847,1.0,0,161.36
Spring Invite Leuven,2023-04-21,Terrible Monkeys,Révolution'air,15,5,600.0,1.0,0,386.61
Spring Invite Leuven,2023-04-21,Terrible Monkeys,UFO,15,12,300.4922431832018,1.0,0,-93.33999999999999
Spring Invite Leuven,2023-04-21,UFO,7 Schwaben,15,12,300.4922431832018,1.0,0,40.67
Spring Invite Leuven,2023-04-21,UFO,Freezzz Beezzz,15,13,214.17926913507503,1.0,0,-150.51
Spring Invite Leuven,2023-04-21,UFO,Uprising,14,7,582.8868714046324,1.0,0,165.63
Spring Invite Leuven,2023-04-21,Uprising,Hard2Fisch,15,4,600.0,1.0,0,369.07
Spring Invite Leuven,2023-04-21,Uprising,Révolution'air,11,10,125.0,1.0,0,314.32
Spring Invite Leuven,2023-04-21,XVI,Frizzly Bears,13,12,125.0,1.0,0,-67.41000000000001
Spring Invite Leuven,2023-04-21,XVI,Hard2Fisch,15,5,600.0,1.0,0,431.57
Spring Invite Padova,2023-04-21,3SB - Open,Alligators,12,10,238.1225775586291,1.0,0,254.55
Spring Invite Padova,2023-04-21,3SB - Open,Cus Padova Barbastreji,15,8,564.8086448756737,1.0,0,464.93
Spring Invite Padova,2023-04-21,3SB - Open,FWD>>,15,6,600.0,1.0,1,619.6500000000001
Spring Invite Padova,2023-04-21,3SB - Open,Flying Angels Bern,15,9,515.4814780292847,1.0,0,348.48
Spring Invite Padova,2023-04-21,3SB - Open,Panthers Bern,15,8,564.8086448756737,1.0,0,379.20000000000005
Spring Invite Padova,2023-04-21,3SB - Open,Red Bulls,15,12,300.4922431832018,1.0,0,458.59000000000003
Spring Invite Padova,2023-04-21,Alligators,Canieporci,15,9,515.4814780292847,1.0,0,652.53
Spring Invite Padova,2023-04-21,Alligators,Cotarica Grandes,11,8,365.60925011032475,1.0,0,3.780000000000001
Spring Invite Padova,2023-04-21,Alligators,Outsiterz,15,13,214.17926913507503,1.0,0,218.37
Spring Invite Padova,2023-04-21,Alligators,Panthers Wroclaw - Open,15,8,564.8086448756737,1.0,0,74.02000000000001
Spring Invite Padova,2023-04-21,Canieporci,SLOVENIA,15,9,515.4814780292847,1.0,0,132.73999999999995
Spring Invite Padova,2023-04-21,Cotarica Grandes,Panthers Bern,15,11,381.1647521399218,1.0,0,120.87000000000002
Spring Invite Padova,2023-04-21,Cotarica Grandes,Red Bulls,15,11,381.1647521399218,1.0,0,200.26000000000002
Spring Invite Padova,2023-04-21,Cotarica Grandes,SLOVENIA,15,7,600.0,1.0,0,781.49
Spring Invite Padova,2023-04-21,Cotarica Grandes,thebigEZ,15,9,515.4814780292847,1.0,0,375.31
Spring Invite Padova,2023-04-21,Cus Padova Barbastreji,Cotarica Grandes,14,11,313.3379659704299,1.0,0,-206.60000000000002
Spring Invite Padova,2023-04-21,Cus Padova Barbastreji,Freespeed,13,12,125.0,1.0,0,28.16
Spring Invite Padova,2023-04-21,Cus Padova Barbastreji,Hardfisch,15,10,453.6039151898044,1.0,0,181.04999999999998
Spring Invite Padova,2023-04-21,Cus Padova Barbastreji,M.U.C.,13,12,125.0,1.0,0,-381.85999999999996
Spring Invite Padova,2023-04-21,FWD>>,Canieporci,15,7,600.0,1.0,0,287.43
Spring Invite Padova,2023-04-21,FWD>>,Hardfisch,14,13,125.0,1.0,0,26.329999999999984
Spring Invite Padova,2023-04-21,Flying Angels Bern,Canieporci,15,7,600.0,1.0,0,558.6
Spring Invite Padova,2023-04-21,Flying Angels Bern,FWD>>,13,10,328.14240231865136,1.0,0,271.17
Spring Invite Padova,2023-04-21,Freespeed,Flying Angels Bern,13,12,125.0,1.0,0,-144.61
Spring Invite Padova,2023-04-21,Freespeed,Hardfisch,15,4,600.0,1.0,0,152.89
Spring Invite Padova,2023-04-21,Freespeed,Outsiterz,13,12,125.0,1.0,0,-20.169999999999998
Spring Invite Padova,2023-04-21,Freespeed,SLOVENIA,15,11,381.1647521399218,1.0,0,546.73
Spring Invite Padova,2023-04-21,Hardfisch,SLOVENIA,15,14,125.0,1.0,0,393.84
Spring Invite Padova,2023-04-21,M.U.C.,Alligators,15,10,453.6039151898044,1.0,0,171.47999999999996
Spring Invite Padova,2023-04-21,M.U.C.,Canieporci,15,4,600.0,1.0,1,824.01
Spring Invite Padova,2023-04-21,M.U.C.,Outsiterz,15,10,453.6039151898044,1.0,0,389.84999999999997
Spring Invite Padova,2023-04-21,M.U.C.,Panthers Bern,15,12,300.4922431832018,1.0,0,296.13
Spring Invite Padova,2023-04-21,M.U.C.,Red Bulls,15,8,564.8086448756737,1.0,0,375.52
Spring Invite Padova,2023-04-21,Outsiterz,Canieporci,15,5,600.0,1.0,0,434.16
Spring Invite Padova,2023-04-21,Outsiterz,FWD>>,15,14,125.0,1.0,0,146.73000000000002
Spring Invite Padova,2023-04-21,Outsiterz,thebigEZ,15,12,300.4922431832018,1.0,0,160.72
Spring Invite Padova,2023-04-21,Panthers Bern,Panthers Wroclaw - Open,15,13,214.17926913507503,1.0,0,-50.63000000000001
Spring Invite Padova,2023-04-21,Panthers Bern,SLOVENIA,15,9,515.4814780292847,1.0,0,660.62
Spring Invite Padova,2023-04-21,Panthers Bern,thebigEZ,13,8,496.1596377856195,1.0,0,254.44
Spring Invite Padova,2023-04-21,Panthers Wroclaw - Open,Cus Padova Barbastreji,11,9,249.2068104043629,1.0,0,136.36
Spring Invite Padova,2023-04-21,Panthers Wroclaw - Open,Freespeed,14,12,220.95664314305532,1.0,0,164.52
Spring Invite Padova,2023-04-21,Panthers Wroclaw - Open,Hardfisch,15,8,564.8086448756737,1.0,0,317.40999999999997
Spring Invite Padova,2023-04-21,Red Bulls,FWD>>,13,12,125.0,1.0,0,161.06
Spring Invite Padova,2023-04-21,Red Bulls,Flying Angels Bern,13,9,418.5661446562001,1.0,0,-110.11000000000001
Spring Invite Padova,2023-04-21,Red Bulls,Panthers Wroclaw - Open,11,10,125.0,1.0,0,-130.02
