Team,Rating_USAU,Tournaments,Games,Wins,Losses,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
Mooncatchers,761.53,3,14,12,2,0.8571428571428571,0.6155125103654516,203,133,5.0,1.0,41,1
BFD La Fotta,670.72,3,16,13,3,0.8125,0.59338891242916,226,145,5.0625,1.0,51,1
Clapham Ultimate,590.43,3,13,10,3,0.7692307692307693,0.6727522477522478,172,139,2.5384615384615383,1.0,51,1
3SB - Open,489.41,3,14,13,1,0.9285714285714286,0.46105409468412567,200,135,4.642857142857143,1.0,55,1
Bad Skid,436.9,3,16,14,2,0.875,0.4770184778456837,233,150,5.1875,1.0,54,1
Tchac,418.32,2,11,8,3,0.7272727272727273,0.5373078570271084,142,118,2.1818181818181817,1.0,44,1
Wall City,414.73,4,20,12,8,0.6,0.6575155069388815,255,226,1.45,1.0,55,1
M.U.C.,406.34,3,17,14,3,0.8235294117647058,0.5153826752579257,240,168,4.235294117647059,1.0,57,1
JetSet Ultimate Open,379.45,2,8,8,0,1.0,0.46272997835497837,115,79,4.5,1.0,46,0
Københavns Frisbee Klub (KFK),337.91,1,6,4,2,0.6666666666666666,0.579454150081085,79,64,2.5,1.0,39,0
Chevron Action Flash,306.2,2,10,6,4,0.6,0.5705980603503823,134,110,2.4,1.0,41,1
Iznogood,235.9,2,11,6,5,0.5454545454545454,0.5483904167727697,116,117,-0.09090909090909091,1.0,37,1
Alligators,234.86,2,11,6,5,0.5454545454545454,0.6260717372348389,131,129,0.18181818181818182,1.0,53,1
Cotarica Grandes,231.08,3,15,9,6,0.6,0.46601703307585657,191,157,2.2666666666666666,1.0,48,1
Alba,218.96,3,17,11,6,0.6470588235294118,0.48949411744895266,221,189,1.8823529411764706,1.0,58,1
Gentle Open,197.56,4,21,12,9,0.5714285714285714,0.5202473254054413,272,237,1.6666666666666667,1.0,57,1
Ranelagh,165.01,2,11,5,6,0.45454545454545453,0.5788260149644895,143,140,0.2727272727272727,1.0,43,1
Panthers Wroclaw - Open,160.84,4,21,15,6,0.7142857142857143,0.4753137929608518,272,221,2.4285714285714284,1.0,64,1
