Tournament,Date,Team_1,Team_2,Score_1,Score_2,Game_Rank_Diff_USAU,Game_Wght_USAU,Is_Ignored_USAU,Team_Rank_Diff_USAU
Spring Invite Padova,2023-04-21,3SB - Women,Catchup Women,13,10,328.14240231865136,1.0,0,191.02999999999997
Spring Invite Padova,2023-04-21,3SB - Women,Cheetahs,15,8,564.8086448756737,1.0,0,551.52
Spring Invite Padova,2023-04-21,3SB - Women,Panthers Wroclaw - Women,14,13,125.0,1.0,0,2.1200000000000045
Spring Invite Padova,2023-04-21,CUS Padova Tane Malefiche,Catchup Women,15,8,564.8086448756737,1.0,0,567.17
Spring Invite Padova,2023-04-21,CUS Padova Tane Malefiche,DiscoBolo,12,8,441.15462425988915,1.0,0,451.57
Spring Invite Padova,2023-04-21,CUS Padova Tane Malefiche,East Block,15,13,214.17926913507503,1.0,0,-70.13999999999999
Spring Invite Padova,2023-04-21,CUS Padova Tane Malefiche,box vienna,15,9,515.4814780292847,1.0,0,149.76999999999998
Spring Invite Padova,2023-04-21,Catchup Women,Cheetahs,14,11,313.3379659704299,1.0,0,360.49
Spring Invite Padova,2023-04-21,DiscoBolo,Cheetahs,10,6,496.1596377856195,0.9176629354822471,0,476.09
Spring Invite Padova,2023-04-21,East Block,DiscoBolo,15,10,453.6039151898044,1.0,0,521.71
Spring Invite Padova,2023-04-21,East Block,Tequila Boom Boom,15,9,515.4814780292847,1.0,0,121.59999999999997
Spring Invite Padova,2023-04-21,East Block,box vienna,15,5,600.0,1.0,0,219.90999999999997
Spring Invite Padova,2023-04-21,Panthers Wroclaw - Women,Catchup Women,15,10,453.6039151898044,1.0,0,188.90999999999997
Spring Invite Padova,2023-04-21,Panthers Wroclaw - Women,Catchup Women,12,8,441.15462425988915,1.0,0,188.90999999999997
Spring Invite Padova,2023-04-21,Panthers Wroclaw - Women,Cheetahs,15,8,564.8086448756737,1.0,0,549.4
Spring Invite Padova,2023-04-21,Shout,3SB - Women,15,11,381.1647521399218,1.0,0,635.44
Spring Invite Padova,2023-04-21,Shout,CUS Padova Tane Malefiche,11,8,365.60925011032475,1.0,0,259.30000000000007
Spring Invite Padova,2023-04-21,Shout,DiscoBolo,15,6,600.0,1.0,1,710.8700000000001
Spring Invite Padova,2023-04-21,Shout,East Block,15,14,125.0,1.0,0,189.16000000000008
Spring Invite Padova,2023-04-21,Shout,East Block,15,11,381.1647521399218,1.0,0,189.16000000000008
Spring Invite Padova,2023-04-21,Shout,box vienna,15,8,564.8086448756737,1.0,0,409.07000000000005
Spring Invite Padova,2023-04-21,Tequila Boom Boom,3SB - Women,15,11,381.1647521399218,1.0,0,324.68
Spring Invite Padova,2023-04-21,Tequila Boom Boom,3SB - Women,13,12,125.0,1.0,0,324.68
Spring Invite Padova,2023-04-21,Tequila Boom Boom,Catchup Women,15,12,300.4922431832018,1.0,0,515.71
Spring Invite Padova,2023-04-21,Tequila Boom Boom,Cheetahs,15,6,600.0,1.0,1,876.2
Spring Invite Padova,2023-04-21,Tequila Boom Boom,Panthers Wroclaw - Women,14,10,398.70186369942724,1.0,0,326.8
Spring Invite Padova,2023-04-21,box vienna,CUS Padova Tane Malefiche,15,11,381.1647521399218,1.0,0,-149.76999999999998
Spring Invite Padova,2023-04-21,box vienna,DiscoBolo,14,10,398.70186369942724,1.0,0,301.8
Spring Invite Padova,2023-04-21,box vienna,Panthers Wroclaw - Women,15,11,381.1647521399218,1.0,0,228.49
Spring Invite UK,2023-04-23,Bristol,Horizon,15,2,600.0,1.0,1,606.05
Spring Invite UK,2023-04-23,Bristol,Spice,14,10,398.70186369942724,1.0,0,-10.689999999999998
Spring Invite UK,2023-04-23,Gravity,Bristol,10,9,125.0,1.0,0,-239.77
Spring Invite UK,2023-04-23,Gravity,SCRAM,13,5,600.0,1.0,0,224.05
Spring Invite UK,2023-04-23,Gravity,Spice,15,6,600.0,1.0,0,-250.46
Spring Invite UK,2023-04-23,Horizon,Chameleons,15,1,600.0,1.0,0,343.80000000000007
