Team,Rating_USAU,Tournaments,Games,Wins,Losses,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
Mooncup,601.98,1,5,5,0,1.0,0.5606060606060607,69,46,4.6,1.0,19,0
YAKA,553.88,1,6,5,1,0.8333333333333334,0.5776296802612592,85,55,5.0,1.0,27,0
Shout,533.94,3,14,13,1,0.9285714285714286,0.4759121830550402,202,131,5.071428571428571,1.0,28,0
East Block,344.78,3,15,11,4,0.7333333333333333,0.5205579605579606,211,158,3.533333333333333,1.0,25,0
Heidees Frauen,310.36,1,6,4,2,0.6666666666666666,0.46515151515151515,78,64,2.3333333333333335,1.0,19,0
CUS Padova Tane Malefiche,274.64,1,6,4,2,0.6666666666666666,0.5182539682539683,76,64,2.0,1.0,20,0
Troubles Warsaw,246.04,2,9,7,2,0.7777777777777778,0.45310245310245306,128,93,3.888888888888889,1.0,21,0
Tequila Boom Boom,223.18,2,11,8,3,0.7272727272727273,0.5101928374655648,139,123,1.4545454545454546,1.0,25,0
Jetset LUV,201.77,1,5,4,1,0.8,0.4254545454545454,64,54,2.0,1.0,18,0
JinX,189.12,3,10,6,4,0.6,0.5206880838459786,116,109,0.7,1.0,31,1
Iceni,178.6,3,9,7,2,0.7777777777777778,0.5090241142872721,107,74,3.6666666666666665,1.0,24,0
Seagulls,157.03,3,16,8,8,0.5,0.61879224576593,179,175,0.25,1.0,32,1
box vienna,124.87,4,21,11,10,0.5238095238095238,0.5495165931256156,246,249,-0.14285714285714285,1.0,33,1
Spice,112.6,3,9,6,3,0.6666666666666666,0.4946416481504201,93,70,2.5555555555555554,1.0,17,0
Bristol,101.91,4,19,12,7,0.631578947368421,0.5081909318751423,213,176,1.9473684210526316,1.0,32,1
SYC,-45.2,3,11,6,5,0.5454545454545454,0.4273004773004773,111,97,1.2727272727272727,1.0,31,1
Flame,-48.16,1,6,4,2,0.6666666666666666,0.45080187843345737,61,49,2.0,1.0,17,0
FABulous,-80.76,2,11,2,9,0.18181818181818182,0.6464756933656456,102,149,-4.2727272727272725,1.0,32,1
3SB - Women,-101.5,5,24,8,16,0.3333333333333333,0.5136192267771215,263,306,-1.7916666666666667,1.0,33,1
Panthers Wroclaw - Women,-103.62,2,11,4,7,0.36363636363636365,0.4260002623638987,130,136,-0.5454545454545454,1.0,24,0
Gravity,-137.86,2,10,5,5,0.5,0.49816893632683107,95,89,0.6,1.0,17,0
DiscoBolo,-176.93,1,5,1,4,0.2,0.5704761904761905,44,62,-3.6,1.0,20,0
Lillipuc,-236.58,1,5,1,4,0.2,0.47333333333333333,44,57,-2.6,1.0,14,0
Wuf.,-262.24,1,5,1,4,0.2,0.37636363636363634,48,63,-3.0,1.0,15,0
Catchup Women,-292.53,2,10,2,8,0.2,0.45111111111111113,108,129,-2.1,1.0,27,0
Oxford Ultimate @ Spring Invite UK,-314.21,1,2,2,0,1.0,0.0,23,12,5.5,1.0,6,0
SCRAM,-361.91,3,13,4,9,0.3076923076923077,0.44685869685869684,118,148,-2.3076923076923075,1.0,27,0
Chicas,-477.36,1,3,1,2,0.3333333333333333,0.3703703703703704,26,39,-4.333333333333333,1.0,16,0
Horizon,-504.14,2,8,2,6,0.25,0.41475739173107595,61,81,-2.5,1.0,18,0
Frizzly Bears Women,-510.56,1,4,0,4,0.0,0.527591706539075,27,57,-7.5,1.0,23,0
Cheetahs,-653.02,1,5,0,5,0.0,0.36484848484848487,39,69,-6.0,1.0,22,0
Mantis,-815.51,1,2,0,2,0.0,0.4157509157509158,16,30,-7.0,1.0,19,0
Chameleons,-847.94,2,8,0,8,0.0,0.6104644624381467,32,106,-9.25,1.0,17,0
Zürich Ultimate Swarm,-894.16,1,3,0,3,0.0,0.4222222222222222,22,45,-7.666666666666667,1.0,13,0
Crazy Dogs,,1,1,0,1,0.0,0.9285714285714286,4,15,-11.0,1.0,10,0
