Tournament,Date,Team_1,Team_2,Score_1,Score_2,Game_Rank_Diff_USAU,Game_Wght_USAU,Is_Ignored_USAU,Team_Rank_Diff_USAU,Game_Rank_Diff_Windmill,Game_Wght_Windmill,Is_Ignored_Windmill,Team_Rank_Diff_Windmill,Game_Rank_Diff_Sigmoid,Game_Wght_Sigmoid,Is_Ignored_Sigmoid,Team_Rank_Diff_Sigmoid
Spring Invite Padova,2023-04-21,3SB - Women,Catchup Women,13,10,328.14240231865136,1.0,0,169.32,3,1,0,1.29,3,1,0,1.6367077455051735
Spring Invite Padova,2023-04-21,3SB - Women,Cheetahs,15,8,564.8086448756737,1.0,0,543.72,7,1,0,5.67,7,1,0,5.761367173085546
Spring Invite Padova,2023-04-21,3SB - Women,Panthers Wroclaw - Women,14,13,125.0,1.0,0,0.75,1,1,0,-0.17999999999999994,1,1,0,-0.08399912193101677
Spring Invite Padova,2023-04-21,CUS Padova Tane Malefiche,Catchup Women,15,8,564.8086448756737,1.0,0,544.99,7,1,0,5.91,7,1,0,6.25865476103235
Spring Invite Padova,2023-04-21,CUS Padova Tane Malefiche,DiscoBolo,12,8,441.15462425988915,1.0,0,442.99,4,1,0,5.41,4,1,0,5.471848720754373
Spring Invite Padova,2023-04-21,CUS Padova Tane Malefiche,East Block,15,13,214.17926913507503,1.0,0,-80.63,2,1,0,-1.2199999999999998,2,1,0,-1.4511967282077727
Spring Invite Padova,2023-04-21,CUS Padova Tane Malefiche,box vienna,15,9,515.4814780292847,1.0,0,134.24,6,1,0,1.96,6,1,0,2.0650532214240656
Spring Invite Padova,2023-04-21,Catchup Women,Cheetahs,14,11,313.3379659704299,1.0,0,374.4,3,1,0,4.38,3,1,0,4.305084051306817
Spring Invite Padova,2023-04-21,DiscoBolo,Cheetahs,10,6,496.1596377856195,0.9176629354822471,0,476.4,4,1,0,4.88,4,1,0,5.141841952721155
Spring Invite Padova,2023-04-21,East Block,DiscoBolo,15,10,453.6039151898044,1.0,0,523.62,5,1,0,6.63,5,1,0,6.687045382598466
Spring Invite Padova,2023-04-21,East Block,Tequila Boom Boom,15,9,515.4814780292847,1.0,0,105.81,6,1,0,2.27,6,1,0,2.49947327146646
Spring Invite Padova,2023-04-21,East Block,box vienna,15,5,600.0,1.0,0,214.87,10,1,0,3.1799999999999997,10,1,0,3.4700322282891634
Spring Invite Padova,2023-04-21,Panthers Wroclaw - Women,Catchup Women,15,10,453.6039151898044,1.0,0,168.57,5,1,0,1.47,5,1,0,1.719656103953234
Spring Invite Padova,2023-04-21,Panthers Wroclaw - Women,Catchup Women,12,8,441.15462425988915,1.0,0,168.57,4,1,0,1.47,4,1,0,1.719656103953234
