Team,Rating_Sigmoid,Rating_Windmill,Rating_USAU,Tournaments,Games,Wins,Losses,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
Germany Women @ Windmill,203.21,13.49,1022.29,1,8,8,0,1.0,0.609375,111,68,5.375,1.0,18,0
France Women @ Windmill,159.46,10.12,746.92,1,8,5,3,0.625,0.6412037037037037,102,80,2.75,1.0,33,0
Mermaid lumberjacks @ Windmill,146.25,9.36,661.9,1,8,5,3,0.625,0.6669407894736842,93,83,1.25,1.0,31,0
Czech Republic Women @ Windmill,133.81,8.45,614.38,1,8,4,4,0.5,0.65625,98,97,0.125,1.0,18,0
Swiss Women Ultimate @ Vienna Spring Break 2023,116.45,7.09,248.02,1,4,3,1,0.75,0.459703947368421,57,23,8.5,1.0,32,0
YAKA,107.91,6.67,504.55,2,11,9,2,0.8181818181818182,0.47967801485588046,146,105,3.727272727272727,1.0,51,1
Mooncup,105.54,6.53,612.71,1,5,5,0,1.0,0.5706060606060606,69,46,4.6,1.0,23,0
Switzerland Women @ Windmill,105.39,6.74,498.93,1,8,6,2,0.75,0.5922906602254429,94,84,1.25,1.0,40,0
Austria Women @ Windmill,104.95,6.75,470.26,1,8,5,3,0.625,0.6044407894736842,98,82,2.0,1.0,35,0
GB Womens @ London Invite,104.69,6.44,470.38,1,1,1,0,1.0,0.4,12,10,2.0,1.0,4,0
Belgium Women @ Windmill,102.19,6.45,461.0,1,8,4,4,0.5,0.615625,94,93,0.125,1.0,32,0
GB Women @ London Invite,95.09,5.72,390.66,1,3,1,2,0.3333333333333333,0.7454545454545455,35,36,-0.3333333333333333,1.0,9,0
Shout,90.91,5.33,428.37,3,21,18,3,0.8571428571428571,0.4958248483468017,296,207,4.238095238095238,1.0,52,1
AUSU24s @ London Invite,82.83,4.82,330.44,1,5,3,2,0.6,0.3903030303030303,51,47,0.8,1.0,10,0
Reading Ultimate @ Toms Tourney,80.47,5.0,300.0,1,1,1,0,1.0,0.0,15,5,10.0,4.0,1,0
East Block,79.15,4.55,321.99,3,16,12,4,0.75,0.5233949964383268,225,170,3.4375,1.0,43,1
GB Masters Women @ London Invite,77.86,4.44,232.26,1,5,2,3,0.4,0.5636363636363637,52,51,0.2,1.0,10,0
GB Women @ Toms Tourney,69.5,4.15,333.19,1,9,8,1,0.8888888888888888,0.5311875703752134,112,80,3.5555555555555554,1.0,34,0
Iceni,68.15,3.85,262.08,3,19,13,6,0.6842105263157895,0.5074731785604362,222,169,2.789473684210526,1.0,48,1
Ireland Women @ Windmill,67.37,4.0,343.15,1,8,4,4,0.5,0.5978600794631924,89,85,0.5,1.0,53,0
Troubles Warsaw,66.4,3.86,231.8,2,9,7,2,0.7777777777777778,0.47074775060256,128,93,3.888888888888889,1.0,35,0
LMU @ UK Nationals,64.75,3.05,62.77,1,7,4,3,0.5714285714285714,0.5136850061662092,70,47,3.2857142857142856,1.0,39,0
Heidees Frauen,63.09,3.49,323.71,1,6,4,2,0.6666666666666666,0.47348484848484845,78,64,2.3333333333333335,1.0,23,0
CUS Padova Tane Malefiche,59.74,3.33,241.36,1,6,4,2,0.6666666666666666,0.5091269841269841,76,64,2.0,1.0,27,0
