Team,Rating_USAU,Tournaments,Games,Wins,Losses,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
GRUT,628.66,3,18,15,3,0.8333333333333334,0.5139968056634723,252,178,4.111111111111111,1.0,37,1
Deep Space,615.61,3,17,14,3,0.8235294117647058,0.5753634293426682,232,158,4.352941176470588,1.0,42,1
Reading,500.56,3,17,13,4,0.7647058823529411,0.5659111409543937,231,161,4.117647058823529,1.0,48,1
DISConnection,464.37,3,18,15,3,0.8333333333333334,0.4810752065654026,252,184,3.7777777777777777,1.0,43,1
Leamington Lemmings,445.91,3,18,14,4,0.7777777777777778,0.47284252149448225,245,141,5.777777777777778,1.0,46,1
Sesquidistus,359.65,2,13,8,5,0.6153846153846154,0.5228294078972812,168,140,2.1538461538461537,1.0,33,1
Monkey Grenoble,337.99,2,12,8,4,0.6666666666666666,0.5418373021314198,162,136,2.1666666666666665,1.0,42,1
Manchots,335.63,2,13,8,5,0.6153846153846154,0.5866988717667451,168,153,1.1538461538461537,1.0,34,1
Tartu Turbulence,328.74,2,13,6,7,0.46153846153846156,0.6448543914607263,162,168,-0.46153846153846156,1.0,40,1
Nullacht! Ultimate,279.06,2,13,6,7,0.46153846153846156,0.5989770661716363,165,164,0.07692307692307693,1.0,41,1
Left Overs,273.87,3,18,12,6,0.6666666666666666,0.5374236919580057,203,172,1.7222222222222223,1.0,43,1
FRuBB,188.91,2,13,8,5,0.6153846153846154,0.5274961966138437,147,133,1.0769230769230769,1.0,40,1
Bremen Ultimate,170.28,1,6,2,4,0.3333333333333333,0.5021367521367521,72,78,-1.0,1.0,20,0
KS FLOW WROCŁAW,133.74,3,17,9,8,0.5294117647058824,0.5798398496927909,177,180,-0.17647058823529413,1.0,41,1
Smog,117.23,3,18,7,11,0.3888888888888889,0.6141805181020867,199,224,-1.3888888888888888,1.0,40,1
AKS ZŁY ULTIMATE,108.31,1,5,3,2,0.6,0.5634581105169341,60,59,0.2,1.0,23,0
PELT,104.89,1,6,3,3,0.5,0.5603430474754004,55,54,0.16666666666666666,1.0,24,0
Malmö Ultimate Club,89.84,1,6,4,2,0.6666666666666666,0.31303418803418803,68,48,3.3333333333333335,1.0,17,0
Mosquitos,50.63,2,11,5,6,0.45454545454545453,0.4435693836763356,126,132,-0.5454545454545454,1.0,37,1
Savage Ultimate,11.66,3,18,11,7,0.6111111111111112,0.45944673518202933,217,195,1.2222222222222223,1.0,41,1
FucZH,9.17,2,12,6,6,0.5,0.5030270655270656,128,141,-1.0833333333333333,1.0,29,0
Gentle Mixed,-55.52,2,12,7,5,0.5833333333333334,0.41072584822584823,133,126,0.5833333333333334,1.0,34,1
Hässliche Erdferkel,-95.06,1,7,4,3,0.5714285714285714,0.47618254761111906,65,65,0.0,1.0,22,0
Glasgow Mixed,-96.6,2,11,4,7,0.36363636363636365,0.5656685634626811,109,131,-2.0,1.0,41,1
RJP,-140.57,1,7,4,3,0.5714285714285714,0.44802769592685554,68,67,0.14285714285714285,1.0,26,0
PUC,-155.77,1,6,0,6,0.0,0.6691119338178161,49,87,-6.333333333333333,1.0,27,0
AUT BeeFire,-156.7,1,6,2,4,0.3333333333333333,0.4051282051282052,64,74,-1.6666666666666667,1.0,19,0
FlyHigh,-165.04,2,12,6,6,0.5,0.37729215229215224,144,143,0.08333333333333333,1.0,27,0
Catchup Mixed,-208.09,1,6,3,3,0.5,0.41397306397306394,77,67,1.6666666666666667,1.0,22,0
DiscoBolo,-217.61,1,5,1,4,0.2,0.4230769230769231,52,63,-2.2,1.0,19,0
DTU,-227.49,1,6,2,4,0.3333333333333333,0.4861111111111111,60,74,-2.3333333333333335,1.0,12,0
Zoom Ultimate,-273.48,3,16,5,11,0.3125,0.49606300562182915,136,182,-2.875,1.0,41,1
OUT,-296.56,1,6,3,3,0.5,0.4250841750841751,59,69,-1.6666666666666667,1.0,26,0
SMOG 2,-307.58,1,5,2,3,0.4,0.4634462269756387,50,58,-1.6,1.0,23,0
Fireball Ultimate,-318.12,1,6,4,2,0.6666666666666666,0.3839015151515152,50,46,0.6666666666666666,1.0,17,0
Steamhuck,-322.41,1,5,2,3,0.4,0.5866666666666667,49,47,0.4,1.0,6,0
