Tournament,Date,Team_1,Team_2,Score_1,Score_2,Game_Rank_Diff_USAU,Game_Wght_USAU,Is_Ignored_USAU,Team_Rank_Diff_USAU
Spring Invite Leuven,2023-04-21,7 Schwaben,Bora,15,9,515.4814780292847,1.0,0,434.83000000000004
Spring Invite Leuven,2023-04-21,7 Schwaben,Révolution'air,15,9,515.4814780292847,1.0,0,520.71
Spring Invite Leuven,2023-04-21,7 Schwaben,Uprising,15,9,515.4814780292847,1.0,0,203.26999999999998
Spring Invite Leuven,2023-04-21,7 Schwaben,XVI,13,8,496.1596377856195,1.0,0,113.07000000000001
Spring Invite Leuven,2023-04-21,Aarhus Ultimate,Frizzly Bears,15,14,125.0,1.0,0,51.68000000000001
Spring Invite Leuven,2023-04-21,Aarhus Ultimate,UFO,12,11,125.0,1.0,0,-158.10999999999999
Spring Invite Leuven,2023-04-21,Aarhus Ultimate,XVI,13,10,328.14240231865136,1.0,0,-63.51999999999998
Spring Invite Leuven,2023-04-21,Bad Skid,Aarhus Ultimate,15,6,600.0,1.0,0,562.71
Spring Invite Leuven,2023-04-21,Bad Skid,Hard2Fisch,15,7,600.0,1.0,0,953.81
Spring Invite Leuven,2023-04-21,Bad Skid,SmashD,15,6,600.0,1.0,0,369.44
Spring Invite Leuven,2023-04-21,Bad Skid,Terrible Monkeys,15,8,564.8086448756737,1.0,0,465.4
Spring Invite Leuven,2023-04-21,Bora,Révolution'air,13,12,125.0,1.0,0,85.88
Spring Invite Leuven,2023-04-21,Bora,Uprising,13,10,328.14240231865136,1.0,0,-231.56000000000006
Spring Invite Leuven,2023-04-21,Freezzz Beezzz,7 Schwaben,15,8,564.8086448756737,1.0,0,113.09
Spring Invite Leuven,2023-04-21,Freezzz Beezzz,Aarhus Ultimate,15,9,515.4814780292847,1.0,0,289.68
Spring Invite Leuven,2023-04-21,Freezzz Beezzz,SmashD,15,11,381.1647521399218,1.0,0,96.41
Spring Invite Leuven,2023-04-21,Freezzz Beezzz,Uprising,13,11,228.8403622143806,1.0,0,316.36
Spring Invite Leuven,2023-04-21,Frizzly Bears,Bora,15,8,564.8086448756737,1.0,0,206.56000000000006
Spring Invite Leuven,2023-04-21,Frizzly Bears,Hard2Fisch,15,11,381.1647521399218,1.0,0,339.41999999999996
Spring Invite Leuven,2023-04-21,Gentle Open,Bora,15,4,600.0,1.0,1,830.8800000000001
Spring Invite Leuven,2023-04-21,Gentle Open,Freezzz Beezzz,15,11,381.1647521399218,1.0,0,282.96
Spring Invite Leuven,2023-04-21,Gentle Open,Révolution'air,15,6,600.0,1.0,1,916.76
Spring Invite Leuven,2023-04-21,Gentle Open,Terrible Monkeys,15,12,300.4922431832018,1.0,0,475.33000000000004
Spring Invite Leuven,2023-04-21,Gentle Open,Terrible Monkeys,15,0,600.0,1.0,0,475.33000000000004
Spring Invite Leuven,2023-04-21,JetSet Ultimate Open,Aarhus Ultimate,15,9,515.4814780292847,1.0,0,507.73
Spring Invite Leuven,2023-04-21,JetSet Ultimate Open,Bad Skid,15,14,125.0,1.0,0,-54.97999999999999
Spring Invite Leuven,2023-04-21,JetSet Ultimate Open,Frizzly Bears,15,10,453.6039151898044,1.0,0,559.41
Spring Invite Leuven,2023-04-21,JetSet Ultimate Open,Gentle Open,13,12,125.0,1.0,0,-64.91
Spring Invite Leuven,2023-04-21,JetSet Ultimate Open,SmashD,15,7,600.0,1.0,0,314.46000000000004
Spring Invite Leuven,2023-04-21,JetSet Ultimate Open,XVI,15,8,564.8086448756737,1.0,0,444.21000000000004
Spring Invite Leuven,2023-04-21,SmashD,Hard2Fisch,15,9,515.4814780292847,1.0,0,584.3699999999999
Spring Invite Leuven,2023-04-21,SmashD,UFO,15,10,453.6039151898044,1.0,0,35.16
Spring Invite Leuven,2023-04-21,Terrible Monkeys,Bora,15,9,515.4814780292847,1.0,0,355.55000000000007
Spring Invite Leuven,2023-04-21,Terrible Monkeys,Révolution'air,15,5,600.0,1.0,0,441.43000000000006
Spring Invite Leuven,2023-04-21,Terrible Monkeys,UFO,15,12,300.4922431832018,1.0,0,-60.80000000000001
Spring Invite Leuven,2023-04-21,UFO,7 Schwaben,15,12,300.4922431832018,1.0,0,-18.480000000000004
Spring Invite Leuven,2023-04-21,UFO,Freezzz Beezzz,15,13,214.17926913507503,1.0,0,-131.57
Spring Invite Leuven,2023-04-21,UFO,Uprising,14,7,582.8868714046324,1.0,0,184.79
Spring Invite Leuven,2023-04-21,Uprising,Hard2Fisch,15,4,600.0,1.0,0,364.41999999999996
Spring Invite Leuven,2023-04-21,Uprising,Révolution'air,11,10,125.0,1.0,0,317.44000000000005
Spring Invite Leuven,2023-04-21,XVI,Frizzly Bears,13,12,125.0,1.0,0,115.19999999999999
Spring Invite Leuven,2023-04-21,XVI,Hard2Fisch,15,5,600.0,1.0,0,454.61999999999995
Spring Invite Padova,2023-04-21,3SB - Open,Alligators,12,10,238.1225775586291,1.0,0,209.01999999999998
Spring Invite Padova,2023-04-21,3SB - Open,Cus Padova Barbastreji,15,8,564.8086448756737,1.0,0,447.75
Spring Invite Padova,2023-04-21,3SB - Open,FWD>>,15,6,600.0,1.0,0,573.02
Spring Invite Padova,2023-04-21,3SB - Open,Flying Angels Bern,15,9,515.4814780292847,1.0,0,297.49
Spring Invite Padova,2023-04-21,3SB - Open,Panthers Bern,15,8,564.8086448756737,1.0,0,295.95
Spring Invite Padova,2023-04-21,3SB - Open,Red Bulls,15,12,300.4922431832018,1.0,0,402.10999999999996
Spring Invite Padova,2023-04-21,Alligators,Canieporci,15,9,515.4814780292847,1.0,0,649.22
Spring Invite Padova,2023-04-21,Alligators,Cotarica Grandes,11,8,365.60925011032475,1.0,0,-126.61000000000001
Spring Invite Padova,2023-04-21,Alligators,Outsiterz,15,13,214.17926913507503,1.0,0,221.61
Spring Invite Padova,2023-04-21,Alligators,Panthers Wroclaw - Open,15,8,564.8086448756737,1.0,0,107.43
Spring Invite Padova,2023-04-21,Canieporci,SLOVENIA,15,9,515.4814780292847,1.0,0,122.81000000000006
Spring Invite Padova,2023-04-21,Cotarica Grandes,Panthers Bern,15,11,381.1647521399218,1.0,0,213.54000000000002
Spring Invite Padova,2023-04-21,Cotarica Grandes,Red Bulls,15,11,381.1647521399218,1.0,0,319.7
Spring Invite Padova,2023-04-21,Cotarica Grandes,SLOVENIA,15,7,600.0,1.0,0,898.6400000000001
Spring Invite Padova,2023-04-21,Cotarica Grandes,thebigEZ,15,9,515.4814780292847,1.0,0,473.02
Spring Invite Padova,2023-04-21,Cus Padova Barbastreji,Cotarica Grandes,14,11,313.3379659704299,1.0,0,-365.34000000000003
Spring Invite Padova,2023-04-21,Cus Padova Barbastreji,Freespeed,13,12,125.0,1.0,0,55.739999999999995
Spring Invite Padova,2023-04-21,Cus Padova Barbastreji,Hardfisch,15,10,453.6039151898044,1.0,0,460.45
Spring Invite Padova,2023-04-21,Cus Padova Barbastreji,M.U.C.,13,12,125.0,1.0,0,-282.64
Spring Invite Padova,2023-04-21,FWD>>,Canieporci,15,7,600.0,1.0,0,285.21999999999997
Spring Invite Padova,2023-04-21,FWD>>,Hardfisch,14,13,125.0,1.0,0,335.18
Spring Invite Padova,2023-04-21,Flying Angels Bern,Canieporci,15,7,600.0,1.0,0,560.75
Spring Invite Padova,2023-04-21,Flying Angels Bern,FWD>>,13,10,328.14240231865136,1.0,0,275.53
Spring Invite Padova,2023-04-21,Freespeed,Flying Angels Bern,13,12,125.0,1.0,0,-206.0
