Team,Rating_USAU,Tournaments,Games,Wins,Losses,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
Mooncatchers,732.57,2,12,10,2,0.8333333333333334,0.6602223688620747,169,119,4.166666666666667,1.0,43,1
BFD La Fotta,690.75,3,17,14,3,0.8235294117647058,0.5788390290985447,244,153,5.352941176470588,1.0,47,1
Clapham Ultimate,651.32,3,16,13,3,0.8125,0.6538280143059555,217,167,3.125,1.0,45,1
Wall City,448.14,3,17,11,6,0.6470588235294118,0.6669222586429993,224,209,0.8823529411764706,1.0,52,1
Alba,382.03,2,11,8,3,0.7272727272727273,0.5871865234868331,152,124,2.5454545454545454,1.0,44,1
3SB - Open,348.46,3,19,14,5,0.7368421052631579,0.5040798554730443,264,218,2.4210526315789473,1.0,46,1
Chevron Action Flash,331.07,3,17,10,7,0.5882352941176471,0.572894534490783,222,196,1.5294117647058822,1.0,49,1
Gentle Open,303.81,3,17,11,6,0.6470588235294118,0.5066224865100297,234,177,3.3529411764705883,1.0,50,1
Tchac,295.43,2,13,7,6,0.5384615384615384,0.5693264209131083,176,159,1.3076923076923077,1.0,39,1
Bad Skid,293.88,3,18,13,5,0.7222222222222222,0.5010296529904372,257,200,3.1666666666666665,1.0,52,1
Cotarica Grandes,266.05,3,17,11,6,0.6470588235294118,0.48677418314096516,226,182,2.588235294117647,1.0,49,1
Ranelagh,263.22,3,17,10,7,0.5882352941176471,0.5588733672689237,231,217,0.8235294117647058,1.0,48,1
JetSet Ultimate Open,238.9,2,13,9,4,0.6923076923076923,0.5350295945884181,176,154,1.6923076923076923,1.0,51,1
Bristol Open,194.92,2,12,7,5,0.5833333333333334,0.5273382867132866,148,136,1.0,1.0,48,1
M.U.C.,183.35,3,18,12,6,0.6666666666666666,0.5002395310792582,239,200,2.1666666666666665,1.0,50,1
Københavns Frisbee Klub (KFK),181.34,2,13,7,6,0.5384615384615384,0.5910810802808897,163,164,-0.07692307692307693,1.0,48,1
Alligators,139.44,2,11,6,5,0.5454545454545454,0.5562900071276335,131,129,0.18181818181818182,1.0,45,1
Heidees Open,73.48,2,11,3,8,0.2727272727272727,0.592601741067826,128,150,-2.0,1.0,41,1
Panthers Bern,52.51,3,18,8,10,0.4444444444444444,0.5442498116969221,223,227,-0.2222222222222222,1.0,49,1
Solebang,51.76,1,6,2,4,0.3333333333333333,0.5250773191949663,57,68,-1.8333333333333333,1.0,30,0
Flying Angels Bern,50.97,3,18,8,10,0.4444444444444444,0.5442041057688632,199,225,-1.4444444444444444,1.0,49,1
Panthers Wroclaw - Open,32.01,3,18,12,6,0.6666666666666666,0.445574479355383,237,209,1.5555555555555556,1.0,51,1
Iznogood,29.08,1,6,2,4,0.3333333333333333,0.533818577936225,54,61,-1.1666666666666667,1.0,31,0
Freezzz Beezzz,20.85,2,11,6,5,0.5454545454545454,0.4643446497056123,141,130,1.0,1.0,41,1
Amsterdam Ultimate Club,-21.53,1,6,2,4,0.3333333333333333,0.5835313923549218,67,80,-2.1666666666666665,1.0,38,0
Red Bulls,-53.65,2,12,6,6,0.5,0.507580969655273,133,139,-0.5,1.0,42,1
