Tournament,Date,Team_1,Team_2,Score_1,Score_2,Game_Rank_Diff_USAU,Game_Wght_USAU,Is_Ignored_USAU,Team_Rank_Diff_USAU
Spring Invite Padova,2023-04-21,3SB - Women,Catchup Women,13,10,328.14240231865136,1.0,0,261.27
Spring Invite Padova,2023-04-21,3SB - Women,Cheetahs,15,8,564.8086448756737,1.0,0,546.58
Spring Invite Padova,2023-04-21,3SB - Women,Panthers Wroclaw - Women,14,13,125.0,1.0,0,-17.590000000000003
Spring Invite Padova,2023-04-21,CUS Padova Tane Malefiche,Catchup Women,15,8,564.8086448756737,1.0,0,709.34
Spring Invite Padova,2023-04-21,CUS Padova Tane Malefiche,DiscoBolo,12,8,441.15462425988915,1.0,0,447.35
Spring Invite Padova,2023-04-21,CUS Padova Tane Malefiche,East Block,15,13,214.17926913507503,1.0,0,-120.35
Spring Invite Padova,2023-04-21,CUS Padova Tane Malefiche,box vienna,15,9,515.4814780292847,1.0,0,121.98000000000002
Spring Invite Padova,2023-04-21,Catchup Women,Cheetahs,14,11,313.3379659704299,1.0,0,285.31000000000006
Spring Invite Padova,2023-04-21,DiscoBolo,Cheetahs,10,6,496.1596377856195,0.9176629354822471,0,547.3000000000001
Spring Invite Padova,2023-04-21,East Block,DiscoBolo,15,10,453.6039151898044,1.0,0,567.7
Spring Invite Padova,2023-04-21,East Block,Tequila Boom Boom,15,9,515.4814780292847,1.0,0,297.79
Spring Invite Padova,2023-04-21,East Block,box vienna,15,5,600.0,1.0,0,242.33
Spring Invite Padova,2023-04-21,Panthers Wroclaw - Women,Catchup Women,15,10,453.6039151898044,1.0,0,278.86
Spring Invite Padova,2023-04-21,Panthers Wroclaw - Women,Catchup Women,12,8,441.15462425988915,1.0,0,278.86
Spring Invite Padova,2023-04-21,Panthers Wroclaw - Women,Cheetahs,15,8,564.8086448756737,1.0,0,564.1700000000001
Spring Invite Padova,2023-04-21,Shout,3SB - Women,15,11,381.1647521399218,1.0,0,739.55
Spring Invite Padova,2023-04-21,Shout,CUS Padova Tane Malefiche,11,8,365.60925011032475,1.0,0,291.4799999999999
Spring Invite Padova,2023-04-21,Shout,DiscoBolo,15,6,600.0,1.0,1,738.8299999999999
Spring Invite Padova,2023-04-21,Shout,East Block,15,14,125.0,1.0,0,171.12999999999994
Spring Invite Padova,2023-04-21,Shout,East Block,15,11,381.1647521399218,1.0,0,171.12999999999994
Spring Invite Padova,2023-04-21,Shout,box vienna,15,8,564.8086448756737,1.0,0,413.4599999999999
Spring Invite Padova,2023-04-21,Tequila Boom Boom,3SB - Women,15,11,381.1647521399218,1.0,0,270.63
Spring Invite Padova,2023-04-21,Tequila Boom Boom,3SB - Women,13,12,125.0,1.0,0,270.63
Spring Invite Padova,2023-04-21,Tequila Boom Boom,Catchup Women,15,12,300.4922431832018,1.0,0,531.9
Spring Invite Padova,2023-04-21,Tequila Boom Boom,Cheetahs,15,6,600.0,1.0,1,817.21
Spring Invite Padova,2023-04-21,Tequila Boom Boom,Panthers Wroclaw - Women,14,10,398.70186369942724,1.0,0,253.04000000000002
Spring Invite Padova,2023-04-21,box vienna,CUS Padova Tane Malefiche,15,11,381.1647521399218,1.0,0,-121.98000000000002
Spring Invite Padova,2023-04-21,box vienna,DiscoBolo,14,10,398.70186369942724,1.0,0,325.37
Spring Invite Padova,2023-04-21,box vienna,Panthers Wroclaw - Women,15,11,381.1647521399218,1.0,0,308.5
Spring Invite UK,2023-04-23,Bristol,Horizon,15,2,600.0,1.0,1,624.13
Spring Invite UK,2023-04-23,Bristol,Spice,14,10,398.70186369942724,1.0,0,90.9
Spring Invite UK,2023-04-23,Gravity,Bristol,10,9,125.0,1.0,0,-50.08
Spring Invite UK,2023-04-23,Gravity,SCRAM,13,5,600.0,1.0,0,334.95000000000005
Spring Invite UK,2023-04-23,Gravity,Spice,15,6,600.0,1.0,0,40.82
Spring Invite UK,2023-04-23,Horizon,Chameleons,15,1,600.0,1.0,0,438.6600000000001
Spring Invite UK,2023-04-23,Iceni,SCRAM,15,6,600.0,1.0,1,671.3800000000001
Spring Invite UK,2023-04-23,Oxford,Chameleons,8,5,453.6039151898044,0.8271701918685112,0,533.73
Spring Invite UK,2023-04-23,Oxford,Chameleons,15,7,600.0,1.0,0,533.73
Spring Invite UK,2023-04-23,Spice,SCRAM,15,6,600.0,1.0,0,294.13
Elite Invite,2023-05-29,Bristol,3SB - Women,15,9,515.4814780292847,1.0,0,193.11
Elite Invite,2023-05-29,Bristol,FABulous,15,4,600.0,1.0,0,173.75
Elite Invite,2023-05-29,Bristol,box vienna,13,12,125.0,1.0,0,-132.98
Elite Invite,2023-05-29,FABulous,3SB - Women,15,8,564.8086448756737,1.0,0,19.360000000000014
Elite Invite,2023-05-29,JinX,3SB - Women,15,9,515.4814780292847,1.0,0,537.4100000000001
Elite Invite,2023-05-29,JinX,Bristol,15,6,600.0,1.0,0,344.3
Elite Invite,2023-05-29,JinX,FABulous,15,6,600.0,1.0,0,518.05
Elite Invite,2023-05-29,JinX,Seagulls,12,8,441.15462425988915,1.0,0,338.90000000000003
Elite Invite,2023-05-29,JinX,YAKA,12,11,125.0,1.0,0,-227.06
Elite Invite,2023-05-29,Seagulls,3SB - Women,12,6,579.3107485100336,0.9733285267845752,0,198.51000000000002
Elite Invite,2023-05-29,Seagulls,Bristol,13,7,557.5316737222639,1.0,0,5.4
Elite Invite,2023-05-29,Seagulls,box vienna,15,9,515.4814780292847,1.0,0,-127.58
Elite Invite,2023-05-29,Shout,3SB - Women,15,9,515.4814780292847,1.0,0,739.55
Elite Invite,2023-05-29,Shout,FABulous,15,6,600.0,1.0,1,720.1899999999999
Elite Invite,2023-05-29,Shout,Seagulls,15,8,564.8086448756737,1.0,0,541.04
Elite Invite,2023-05-29,Shout,Seagulls,15,13,214.17926913507503,1.0,0,541.04
Elite Invite,2023-05-29,Shout,box vienna,15,9,515.4814780292847,1.0,0,413.4599999999999
Elite Invite,2023-05-29,YAKA,Bristol,15,10,453.6039151898044,1.0,0,571.36
Elite Invite,2023-05-29,YAKA,FABulous,15,7,600.0,1.0,0,745.11
Elite Invite,2023-05-29,YAKA,JinX,15,5,600.0,1.0,0,227.06
Elite Invite,2023-05-29,YAKA,Shout,14,12,220.95664314305532,1.0,0,24.920000000000073
Elite Invite,2023-05-29,YAKA,box vienna,15,9,515.4814780292847,1.0,0,438.38
Elite Invite,2023-05-29,box vienna,3SB - Women,15,7,600.0,1.0,0,326.09000000000003
Elite Invite,2023-05-29,box vienna,FABulous,13,9,418.5661446562001,1.0,0,306.73
EUCR Gent,2023-08-07,FABulous,Wuf.,15,12,300.4922431832018,1.0,0,316.6
EUCR Gent,2023-08-07,Heidees Frauen,FABulous,15,11,381.1647521399218,1.0,0,270.83
EUCR Gent,2023-08-07,Heidees Frauen,FABulous,13,11,228.8403622143806,1.0,0,270.83
EUCR Gent,2023-08-07,Heidees Frauen,Lillipuc,11,5,600.0,0.9176629354822471,0,579.61
EUCR Gent,2023-08-07,Heidees Frauen,Seagulls,15,9,515.4814780292847,1.0,0,91.68
