Team,Rating_USAU,Tournaments,Games,Wins,Losses,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
YAKA,568.23,2,12,10,2,0.8333333333333334,0.6338749817010686,162,109,4.416666666666667,1.0,25,0
Shout,543.31,3,18,16,2,0.8888888888888888,0.5338797486495697,258,172,4.777777777777778,1.0,28,0
Mooncup,482.04,2,12,10,2,0.8333333333333334,0.5647157853040207,162,112,4.166666666666667,1.0,28,0
East Block,372.18,3,17,12,5,0.7058823529411765,0.5455617556640575,239,190,2.8823529411764706,1.0,25,0
JinX,341.17,2,12,10,2,0.8333333333333334,0.5071791013287177,156,118,3.1666666666666665,1.0,28,0
Iceni,283.22,3,12,9,3,0.75,0.5172268753790493,142,110,2.6666666666666665,1.0,25,0
CUS Padova Tane Malefiche,251.83,1,6,4,2,0.6666666666666666,0.47183385431467273,76,64,2.0,1.0,19,0
Troubles Warsaw,236.16,2,12,6,6,0.5,0.6253584437727661,155,151,0.3333333333333333,1.0,26,0
box vienna,129.85,4,23,10,13,0.43478260869565216,0.5848158235626266,275,287,-0.5217391304347826,1.0,28,0
Heidees Frauen,93.95,2,12,6,6,0.5,0.48156247347423814,152,136,1.3333333333333333,1.0,28,0
Tequila Boom Boom,74.39,3,18,12,6,0.6666666666666666,0.4353498755672669,228,210,1.0,1.0,28,0
Seagulls,2.27,2,12,5,7,0.4166666666666667,0.5251628604889474,131,133,-0.16666666666666666,1.0,26,0
Bristol,-3.13,4,22,12,10,0.5454545454545454,0.5012575098310973,242,229,0.5909090909090909,1.0,29,0
Gravity,-53.21,3,17,10,7,0.5882352941176471,0.46120448179271706,189,167,1.2941176470588236,1.0,26,0
Spice,-94.03,3,14,6,8,0.42857142857142855,0.5017417507187328,132,144,-0.8571428571428571,1.0,27,0
SYC,-155.44,1,6,4,2,0.6666666666666666,0.38057889822595703,54,47,1.1666666666666667,1.0,18,0
FABulous,-176.88,2,11,2,9,0.18181818181818182,0.5896175190641594,102,149,-4.2727272727272725,1.0,26,0
Panthers Wroclaw - Women,-178.65,2,11,4,7,0.36363636363636365,0.34776796093931645,130,136,-0.5454545454545454,1.0,22,0
DiscoBolo,-195.52,1,5,1,4,0.2,0.5392441034384768,44,62,-3.6,1.0,19,0
3SB - Women,-196.24,4,24,6,18,0.25,0.5283599221418914,256,326,-2.9166666666666665,1.0,28,0
Jetset LUV,-206.34,2,11,4,7,0.36363636363636365,0.4686274509803922,113,140,-2.4545454545454546,1.0,26,0
Flame,-221.05,2,12,5,7,0.4166666666666667,0.5253904592139886,111,137,-2.1666666666666665,1.0,25,0
SCRAM,-388.16,2,10,3,7,0.3,0.4955182072829132,88,108,-2.0,1.0,19,0
Catchup Women,-457.51,1,6,1,5,0.16666666666666666,0.3851010101010101,62,81,-3.1666666666666665,1.0,19,0
Lillipuc,-485.66,1,5,1,4,0.2,0.33606060606060606,44,57,-2.6,1.0,16,0
Wuf.,-493.48,1,5,1,4,0.2,0.27242424242424246,48,63,-3.0,1.0,15,0
Oxford,-532.19,1,2,2,0,1.0,0.0,23,12,5.5,1.0,6,0
Horizon,-627.26,2,8,2,6,0.25,0.3681993251846193,61,81,-2.5,1.0,22,0
Cheetahs,-742.82,1,5,0,5,0.0,0.3293939393939394,39,69,-6.0,1.0,19,0
Chameleons,-1065.92,2,8,0,8,0.0,0.5640151515151515,32,106,-9.25,1.0,22,0
